org
江西理工大学冶金与化学工程学院
钨资源高效开发及应用技术教育部工程研究中心
江西应用技术职业学院
国土资源部沈阳矿产资源监督检测中心
赣州市农业局
江西理工大学稀土学院
江西省矿业工程重点实验室
武汉工程大学绿色化工过程教育部重点实验室湖北省新型反应器与绿色化学工艺重点实验室
中南大学资源加工与生物工程学院
中国稀土学会《稀土》编辑部
西北大学地质学系
长安大学地球科学与资源学院
山东科技大学地球信息科学与工程学院
中国石油天然气股份有限公司长庆油田分公司
河北师范大学化学系
西北大学生物系，西北大学地质系，陕西省畜牧兽医总站
哈尔滨工业大学
中国地质科学院郑州矿产综合利用研究所国土资源部多金属矿评价与综合利用重点实验室河南省黄金资源综合利用重点实验室
佛山科技学院
武汉大学化学与环境科学学院
南京大学地球科学系，浙江省区域地质调查大队
中国科学技术大学物理系
西安交通大学经济与金融学院
西北大学经济管理学院
南京大学
北京电光源研究所
河南省镇平县棉办
北京科技大学，北京师范大学
国家地震局地质研究所
中国科学院高能物理研究所
中国地质科学院地质研究所
中国科学院地质研究所 北京
北京大学地质学系
大连理工大学材料工程系
鞍山钢铁公司钢铁研究所
曲阜师范大学化学系，南开大学化学系
中国科学院地质研究所，云南省地质矿产局第三地质队
甘肃张掖师范高等专科学校化学系，北京大学化学系稀土研究中心
首都师范大学化学系
北京有色金属研究总院
中国科学院物理研究所
电子工业部四十六所
中国原子能科学研究院放射化学研究所
中国科学院广州地质新技术研究所，中国广州分析测试中心，中国科学院地质研究所
国家物资储备局研究所
中国科学院上海技术物理研究所，中国科学院长春物理研究所
江西省科委工业处
华东理工大学科技信息研究所
西安科技大学化学与化工系
博士、教授
副教授
云南师范大学化学化工学院
中国科学院高能物理研究所同步辐射实验室
云南师范大学物理与电子信息学院
南开大学化学系
西安交通大学电气工程学院
中国地质大学
国家新材料行业生产力促进中心
南开大学物理科学学院光电信息科学系
华中科技大学材料科学与工程学院
华中科技大学湖北长江石油化工设备厂
湖北武汉
中国原子能科学研究院同位素研究所
日本原子力研究所研究堆部茨城
　319 1195
湖南科技大学化学化工学院
中国科学技术发展战略研究院产业科技发展研究所
江西财经大学旅游与城市管理学院
江西省地质矿产勘查开发局赣南地质调查大队
国土资源部成矿作用与资源评价重点实验室中国地质科学院矿产资源研究所
上海对外经贸大学国际经贸学院
上饶师范学院
农业部环境保护科研监测所
中国科学院生态环境研究中心
郑州大学化学系
中国科学院长春应用化学研究所稀土化学与物理开放实验室
东南大学化学化工系分子与生物电子学开放实验室
中国科学技术大学
中国新星石油公司实验地质研究院
合肥工业大学
武汉大学化学系，黑龙江大学化学系
中国科学院金属腐蚀与防护研究所金属腐蚀与防护国家重点实验室
中国科学院金属腐蚀与防护研究所金属腐蚀?
山西大学分子科学研究所
北京大学，中山大学
中国科学院上海硅酸盐研究所高性能陶瓷和超微结构国家重点实验室
中国科学院上海硅酸盐研究所高性能陶瓷
华中师范大学物理系，中国科学院三环公司研究实验室
广西玉林柴油机器股份有限公司
甘肃工业大学焊接工程系
江西地质科学研究所
唐山工程技术学院
山东建材学院
中国科学院广州地球化学研究所
中国地质大学资源学院
山东大学化学系
包头市产品质量计量检测所
重庆仪表材料研究所
北京大学化学与分子工程学院稀土材料化学及应用国家重点实验室
北京大学-香港大学稀土材料与生物无机化学联合实验室
中国有色工程设计研究总院
北京大学化学与分子工程学院
稀土材料化学及?
浙江大学物理系
浙江大学材料科学与工程系
电子科技大学中山学院
陕西师范大学化学系
中国地质科学院地球物理地球化学勘查研究所
内蒙古大学化学系
中国稀土网站
北京有色金属研究院
中国地质大学(北京)地球科学与资源学院
中南大学冶金科学与工程学院
中国地质科学院矿产资源研究所国土资源部成矿作用与资源评价重点实验室
内蒙古矿产实验研究所
内蒙古地质勘查有限责任公司
中国地质博物馆
内蒙古黄岗矿业有限责任公司
中国地质调查局发展研究中心
对外经济贸易大学
安徽省地矿局321地质队
中国科学技术大学激光剥蚀电感耦合等离子体质谱实验室
西安石油大学材料科学与工程学院
哈尔滨工程大学水声技术重点实验室
西北大学大陆动力学国家重点实验室
成都理工大学
中国科学院同位素年代学和地球化学重点实验室中国科学院广州地球化学研究所
北京离子探针中心
西北工业大学凝固技术国家重点实验室
香港生产力促进局材料科技部
国家镁合金材料工程技术研究中心
重庆硕龙科技有限公司
东莞宜安科技股份有限公司
成都信息工程学院商学院
海南大学材料与化工学院
广东海洋大学理学院
国土资源部大陆动力学重点实验室中国地质科学院地质研究所
中国地质调查局天津地质调查中心(天津地质矿产研究所)
河北工业大学化工学院电化学表面技术研究室
天津工业大学纺织学院
广西师范学院化学与生命科学学院
玉林师范学院化学与生物系
内蒙古师范大学化学与环境科学学院功能材料物理与化学自治区重点实验室
黑龙江科技学院资源与环境工程学院
中国矿业大学(北京)地球科学与测绘工程学院
华北水利水电学院资源与环境学院
江西省高等学校应用化学与化学生物学重点实验室
宜春学院化生学院
中国食品发酵工业研究院
中国科学院过程工程研究所分离科学与工程实验室
中国科学院地球化学研究所矿床地球化学重点实验室
中国地质科学院矿产资源研究所
中国地质调查局
先进能源材料化学教育部重点实验室
南京大学地球科学系
内生金属矿床成矿机制研究国家重点实验室
南昌大学材料科学与工程学院
中国科学院广州地球化学研究所同位素年代学和地球化学重点实验室
江西省科学院生物资源研究所
中国地质科学院矿产综合利用研究所中国地质调查局金属矿产资源综合利用技术研究中心
浙江工业大学经贸管理学院
中国稀土学会
内蒙古大学经济管理学院
中国地质大学(武汉)经济管理学院
国土资源实物地质资料中心
四川省地质矿产勘查开发局化探队
中国计量学院经管学院
浙江工商大学经济学院
环境保护部环境规划院
中国农业科学院农业经济与发展研究所
江西农业大学园林与艺术学院
中科院地理科学与资源研究所
北京科技大学新材料技术研究院
北京市腐蚀磨蚀与表面技术重点实验室
重庆建设工业(集团)有限责任公司制造技术部
北京有色金属研究总院稀土材料国家工程研究中心
有研稀土新材料股份有限公司
福建师范大学地理科学学院
湿润亚热带山地生态国家重点实验室培育基地
湖南科技大学商学院
国土资源部地球化学探测技术重点实验室中国地质科学院地球物理地球化学勘查研究所
联合国教科文组织全球尺度地球化学国际研究中心
河北省地球物理勘查院
中国科学院长春应用化学研究所稀土资源利用国家重点实验室
中国科学院大学
常州工学院经济与管理学院
中煤国际工程集团沈阳煤炭设计研究院
