江西理工大学冶金与化学工程学院
钨资源高效开发及应用技术教育部工程研究中心
江西应用技术职业学院
国土资源部沈阳矿产资源监督检测中心
赣州市农业局
江西理工大学稀土学院
江西省矿业工程重点实验室
武汉工程大学绿色化工过程教育部重点实验室湖北省新型反应器与绿色化学工艺重点实验室
中南大学资源加工与生物工程学院
中国稀土学会《稀土》编辑部
西北大学地质学系
长安大学地球科学与资源学院
山东科技大学地球信息科学与工程学院
中国石油天然气股份有限公司长庆油田分公司
河北师范大学化学系
西北大学生物系，西北大学地质系，陕西省畜牧兽医总站
哈尔滨工业大学
中国地质科学院郑州矿产综合利用研究所国土资源部多金属矿评价与综合利用重点实验室河南省黄金资源综合利用重点实验室
佛山科技学院
武汉大学化学与环境科学学院
南京大学地球科学系，浙江省区域地质调查大队
中国科学技术大学物理系
西安交通大学经济与金融学院
西北大学经济管理学院
南京大学
北京电光源研究所
河南省镇平县棉办
北京科技大学，北京师范大学
国家地震局地质研究所
中国科学院高能物理研究所
中国地质科学院地质研究所
中国科学院地质研究所 北京
北京大学地质学系
大连理工大学材料工程系
鞍山钢铁公司钢铁研究所
曲阜师范大学化学系，南开大学化学系
中国科学院地质研究所，云南省地质矿产局第三地质队
甘肃张掖师范高等专科学校化学系，北京大学化学系稀土研究中心
首都师范大学化学系
北京有色金属研究总院
中国科学院物理研究所
电子工业部四十六所
中国原子能科学研究院放射化学研究所
中国科学院广州地质新技术研究所，中国广州分析测试中心，中国科学院地质研究所
国家物资储备局研究所
中国科学院上海技术物理研究所，中国科学院长春物理研究所
江西省科委工业处
华东理工大学科技信息研究所
西安科技大学化学与化工系
博士、教授
副教授
云南师范大学化学化工学院
中国科学院高能物理研究所同步辐射实验室
云南师范大学物理与电子信息学院
南开大学化学系
西安交通大学电气工程学院
中国地质大学
国家新材料行业生产力促进中心
南开大学物理科学学院光电信息科学系
华中科技大学材料科学与工程学院
华中科技大学湖北长江石油化工设备厂
湖北武汉
中国原子能科学研究院同位素研究所
日本原子力研究所研究堆部茨城
　319 1195
湖南科技大学化学化工学院
中国科学技术发展战略研究院产业科技发展研究所
江西财经大学旅游与城市管理学院
江西省地质矿产勘查开发局赣南地质调查大队
国土资源部成矿作用与资源评价重点实验室中国地质科学院矿产资源研究所
上海对外经贸大学国际经贸学院
上饶师范学院
农业部环境保护科研监测所
中国科学院生态环境研究中心
郑州大学化学系
中国科学院长春应用化学研究所稀土化学与物理开放实验室
